Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.9621958731136434,0.9588148693411851,0.9588148693411851,0.9620763141818188,9.611248254776001
RandomForestClassifier,0.9604635047736372,0.9571600241604898,0.9571600241604898,0.9603440922578445,9.614480972290039
LGBMClassifier,0.9596165691407453,0.955682335398218,0.955682335398218,0.9594609960236571,1.0521864891052246
XGBClassifier,0.9546889436402833,0.9526704651762872,0.9526704651762873,0.9546293027933901,5.689651250839233
BaggingClassifier,0.9403680320295658,0.9384175735596323,0.9384175735596323,0.9403109308195781,3.5512378215789795
AdaBoostClassifier,0.9283184477979673,0.9256492890400669,0.9256492890400669,0.9282083383024041,4.5947792530059814
DecisionTreeClassifier,0.915190945488143,0.9168658809320197,0.9168658809320197,0.9154090461136847,0.6680357456207275
ExtraTreeClassifier,0.9106097936556822,0.9092327017804428,0.9092327017804428,0.9106261310602931,0.303189754486084
BernoulliNB,0.8419310132429936,0.8385429178628993,0.8385429178628993,0.8418283485757063,0.20907974243164062
KNeighborsClassifier,0.7250538959039113,0.7425269136494101,0.7425269136494101,0.7233964748556158,41.10980844497681
RidgeClassifier,0.5624037573144441,0.6086384789458846,0.6086384789458846,0.510227047921382,0.16488242149353027
LinearDiscriminantAnalysis,0.5623652602402217,0.6086044421861841,0.6086044421861841,0.5101704463153969,0.37270021438598633
RidgeClassifierCV,0.5612873421619957,0.6076822106631142,0.6076822106631142,0.5085020463167708,0.3746199607849121
CalibratedClassifierCV,0.5764936864798276,0.5127083899557118,0.5127083899557119,0.43336898326547546,80.3139820098877
LinearSVC,0.5759932245149368,0.5121324551692507,0.5121324551692507,0.4322851942613534,19.88053250312805
SGDClassifier,0.4480674468740376,0.5114914144490297,0.5114914144490298,0.29541198833421906,0.47799038887023926
LogisticRegression,0.5686787804126886,0.5036636171708365,0.5036636171708365,0.4158694861155394,0.4529151916503906
QuadraticDiscriminantAnalysis,0.43451647674776717,0.5000340367597005,0.5000340367597005,0.26327542580379104,0.18949604034423828
GaussianNB,0.43451647674776717,0.5000340367597005,0.5000340367597005,0.26327542580379104,0.13763093948364258
Perceptron,0.4344779796735448,0.5,0.5,0.2631913734418779,0.28822898864746094
DummyClassifier,0.5655220203264552,0.5,0.5,0.4085731804748746,0.10471749305725098
NuSVC,0.5655220203264552,0.5,0.5,0.4085731804748746,945.1226072311401
NearestCentroid,0.4344779796735448,0.5,0.5,0.2631913734418779,0.23935985565185547
SVC,0.4344779796735448,0.5,0.5,0.2631913734418779,264.3438313007355
PassiveAggressiveClassifier,0.5655220203264552,0.5,0.5,0.4085731804748746,0.2647511959075928
